,Events,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,Category
162,b'register submission date request',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'OLO messaging active',b'send confirmation receipt',b'send confirmation receipt',b'registration date publication',b'phase application received',b'start WABOprocedure',b'enter senddate acknowledgement',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'create subcases completeness',b'phase decision taken',b'set decision status',b'creating environmental permit decision',b'enter senddate decision environmental permit',b'phase decision ready',b'enter senddate decision',b'phase application receptive',b'phase advice known',b'phase decision sent',b'transcript decision environmental permit to stakeholders',b'generating decision environmental permit',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
163,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'registration date publication',b'phase application received',b'send confirmation receipt',b'start WABOprocedure',b'enter senddate acknowledgement',b'procedure change',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'create subcases completeness',b'treat subcases completeness',b'subcases completeness completed',b'retrieve missing data',b'phase asked additional information',b'enter senddate retrieve missing data',b'receive additional information',b'enter receipt of additional data',b'send confirmation receipt additional data',b'phase additional information received',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'resume completeness subcases',b'phase application receptive',b'subcases completeness completed',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'procedure change',b'submit decision',b'set decision status',b'phase decision ready',b'phase advice known',b'generating decision environmental permit',b'creating environmental permit decision',b'register objection and appeal periods',b'creating cover letter decision',b'phase decision taken',b'enter senddate decision',b'phase decision sent',b'transcript decision environmental permit to stakeholders',b'enter senddate decision environmental permit',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
171,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'send confirmation receipt',b'start WABOprocedure',b'phase application received',b'registration date publication',b'enter senddate acknowledgement',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'phase decision ready',b'phase application receptive',b'generating decision environmental permit',b'creating environmental permit decision',b'set decision status',b'phase advice known',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision',b'enter senddate decision environmental permit',b'transcript decision environmental permit to stakeholders',b'phase decision sent',b'phase decision taken',b'record date of decision environmental permit',b'start decision phase decision permitting sent',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
174,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'send confirmation receipt',b'start WABOprocedure',b'publish',b'extend procedure term',b'create subcases completeness',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'register number of days extension period',b'decision date prior to decision',b'phase advice known',b'phase application receptive',b'treat subcases completeness',b'create decision procedure term extension',b'creating decision procedure term extension',b'subcases completeness completed',b'set decision status',b'create cover letter extend procedure term',b'start decision phase extension granted',b'enter senddate procedure term extension',b'start decision phase extension granted',b'enter date decision procedure term extension',b'phase procedure extended',b'enter senddate decision procedure term extension',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
178,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'phase application received',b'registration date publication',b'start WABOprocedure',b'send confirmation receipt',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
179,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'registration date publication',b'start WABOprocedure',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
180,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'send confirmation receipt',b'start WABOprocedure',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
181,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'phase application received',b'registration date publication',b'start WABOprocedure',b'send confirmation receipt',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
182,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'phase application received',b'registration date publication',b'send confirmation receipt',b'start WABOprocedure',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
184,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'start WABOprocedure',b'registration date publication',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
186,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'phase application received',b'start WABOprocedure',b'send confirmation receipt',b'registration date publication',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
187,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'registration date publication',b'send confirmation receipt',b'phase application received',b'start WABOprocedure',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
188,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'phase application received',b'send confirmation receipt',b'start WABOprocedure',b'registration date publication',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
189,b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'send confirmation receipt',b'registration date publication',b'register submission date request',b'start WABOprocedure',b'phase application received',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
198,b'register submission date request',b'phase application received',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'enter senddate procedure confirmation',b'send procedure confirmation',b'applicant is stakeholder',b'registrer date of publishing received request',b'registrer date of publishing received request',b'treat subcases completeness',b'WAW permit aspect',b'terminate on request',b'extend procedure term',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register date environmental permit decision',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter senddate procedure confirmation',b'enter senddate decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
208,b'register submission date request',b'enter senddate procedure confirmation',b'phase application received',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'treat subcases completeness',b'subcases completeness completed',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'grounds for refusal',b'register date environmental permit decision',b'applicant is stakeholder',b'terminate on request',b'extend procedure term',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
211,b'register submission date request',b'enter senddate procedure confirmation',b'phase application received',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'treat subcases completeness',b'subcases completeness completed',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'applicant is stakeholder',b'terminate on request',b'extend procedure term',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'register date environmental permit decision',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
220,b'register submission date request',b'enter senddate procedure confirmation',b'phase application received',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'registrer date of publishing received request',b'extend procedure term',b'creating decision procedure term extension',b'register number of days extension period',b'enter date decision procedure term extension',b'enter senddate procedure confirmation',b'treat subcases completeness',b'subcases completeness completed',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'applicant is stakeholder',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'enter senddate decision procedure term extension',b'terminate on request',b'decision procedure term extension',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'enter objectionterm',b'copy decision to extend procedure to stakeholders',b'objection to extension procedure term receptive',b'decision extension procedure term irrevocable',b'creating environmental permit decision',b'register date environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter senddate decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
221,b'register submission date request',b'enter senddate procedure confirmation',b'phase application received',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'registrer date of publishing received request',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
223,b'register submission date request',b'enter senddate procedure confirmation',b'phase application received',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'treat subcases completeness',b'subcases completeness completed',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'applicant is stakeholder',b'terminate on request',b'extend procedure term',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'register date environmental permit decision',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
